Date,SUM(trackCount),Inst count, mean
2017-02,15722137,122301,128.5528
2017-01,19173707,202257,94.7987
2016-12,18435876,162028,113.7820
2016-11,21311583,209494,101.7288
2016-10,21400641,213528,100.2241
2016-09,21574890,198025,108.9503
2016-08,17216140,178057,96.6889
2016-07,36385371,189355,192.1543
2016-06,39834483,215281,185.0348
2016-05,43465598,211062,205.9376
2016-04,37122168,217554,170.6343
2016-03,35399334,226315,156.4162
2016-02,35043620,175154,200.0732
2016-01,21191146,173297,122.2822
2015-12,29613511,162872,181.8208
2015-11,17768310,224442,79.1666
2015-10,21073851,218250,96.5583
2015-09,16326127,202126,80.7720
2015-08,16475386,175237,94.0177
2015-07,14785965,210154,70.3578
2015-06,12678374,206661,61.3487
2015-05,11743344,185869,63.1808
2015-04,9443939,181519,52.0273
2015-03,10007273,180573,55.4195
2015-02,7232176,147327,49.0893
2015-01,6874962,147733,46.5364
2014-12,7001241,127782,54.7905
2014-11,8150637,126508,64.4278
2014-10,6574389,137409,47.8454
2014-09,16205179,131833,122.9220
2014-08,16443575,118143,139.1837
2014-07,13399068,134922,99.3097
2014-06,6729979,119073,56.5198
2014-05,7096724,114251,62.1152
2014-04,4036942,119234,33.8573
2014-03,3117853,109077,28.5840
2014-02,3362978,92708,36.2749
2014-01,2404224,46048,52.2113
2013-12,1373493,30305,45.3223
2013-11,2698473,47900,56.3356
2013-10,1954679,38860,50.3005
2013-09,1566532,32597,48.0576
2013-08,1638288,28397,57.6923
2013-07,2039423,23803,85.6792
2013-06,1768126,24629,71.7904
2013-05,1654620,22511,73.5027
2013-04,1420093,22812,62.2520
2013-03,556211,18202,30.5577
2013-02,597075,9590,62.2602
2013-01,483455,12381,39.0481
2012-12,795677,12639,62.9541
2012-11,466749,11490,40.6222
2012-10,1249641,8526,146.5683
2012-09,968222,8892,108.8869
2012-08,393601,5044,78.0335
2012-07,439735,2755,159.6134
2012-06,111782,865,129.2277
2012-05,31,12,2.5833
2012-04,634,6,105.6667
2012-03,12160,15,810.6667
2012-02,81,4,20.2500
2012-01,1698,16,106.1250
2011-12,4,1,4.0000
2011-11,90,9,10.0000
2011-08,18,2,9.0000
2011-07,43,1,43.0000
2011-06,1277,49,26.0612
2011-05,130,5,26.0000
2011-04,89,8,11.1250
2011-03,1083,42,25.7857
2011-02,981,43,22.8140
2011-01,483,13,37.1538
2010-12,267,13,20.5385
2010-11,107,4,26.7500
2010-10,320,12,26.6667
2010-09,792,34,23.2941
2010-08,1736,66,26.3030
2010-07,28,3,9.3333
2010-06,2658,71,37.4366
2010-05,534,24,22.2500
2010-04,410,17,24.1176
2010-03,779,13,59.9231
2010-01,495,20,24.7500
2009-12,1309,39,33.5641
2009-11,106,5,21.2000
2009-10,56,2,28.0000
2009-09,571,20,28.5500
2009-08,159,7,22.7143
2009-06,48,1,48.0000
2009-05,108,4,27.0000
2009-03,14,1,14.0000
2009-01,1485,49,30.3061
2008-12,27,1,27.0000
2008-11,48,1,48.0000
2008-10,304,7,43.4286
2008-09,94,4,23.5000
2008-08,29,1,29.0000
2008-07,22,1,22.0000
2008-06,10,1,10.0000
2008-05,74,4,18.5000
2008-03,6,1,6.0000
2008-02,48,2,24.0000
2008-01,120,3,40.0000
2007-12,1695,59,28.7288
2007-11,33,1,33.0000
2007-10,727,5,145.4000
2007-09,74,7,10.5714
2007-08,231,9,25.6667
2007-07,229,8,28.6250
2007-06,9,1,9.0000
2007-04,28,1,28.0000
2007-03,57,1,57.0000
2007-01,179,5,35.8000
2006-11,180,15,12.0000
2006-10,22,1,22.0000
2006-08,70,3,23.3333
2006-07,126,5,25.2000
2006-02,30,1,30.0000
2006-01,118,7,16.8571
2005-12,74,4,18.5000
2005-11,3,1,3.0000
2005-05,176,8,22.0000
2005-04,220,10,22.0000
2005-01,42,2,21.0000
2004-12,58,2,29.0000
2004-11,858,21,40.8571
2004-08,28,1,28.0000
2004-07,872,28,31.1429
2004-06,144,6,24.0000
2004-04,52,2,26.0000
2004-01,2346,99,23.6970
2003-12,2615,122,21.4344
2003-11,26,1,26.0000
2003-10,184,6,30.6667
2003-03,27225,9,3025.0000
2003-02,4,1,4.0000
2003-01,41,4,10.2500
2002-12,4,1,4.0000
2002-11,52,2,26.0000
2002-09,60,3,20.0000
2002-08,196,6,32.6667
2002-02,10,1,10.0000
2002-01,570,20,28.5000
2001-12,75,7,10.7143
2001-10,26,1,26.0000
2001-09,694,31,22.3871
2001-06,48,1,48.0000
2001-03,75,2,37.5000
2001-01,753,38,19.8158
2000-12,482,37,13.0270
2000-11,39,13,3.0000
2000-10,426,23,18.5217
2000-09,56,2,28.0000
2000-08,160,5,32.0000
2000-07,74,3,24.6667
2000-01,210,5,42.0000
