month,accesses,unique hosts, unique clients,tracks-mean, tracks-hi, tracks-mode,plugins-mean, plugins-hi, plugins-mode
2017-Q01, 363403, 1270, 41880, 108.41399768301, 22275, 24, 2.6199481016943, 14, 6, 
2016-Q04, 585050, 1597, 63364, 104.51773352705, 22275, 24, 2.2397572857021, 14, 4, 
2016-Q03, 565439, 1595, 57890, 132.95272876473, 22275, 24, 2.1811990329638, 14, 4, 
2016-Q02, 643897, 1683, 62201, 187.02098161663, 203489, 26, 2.1548182395632, 12, 4, 
2016-Q01, 574766, 1466, 55297, 159.42853265503, 20517, 22, 2.1497809543362, 9, 4, 
2015-Q04, 605565, 1354, 55219, 113.04430573101, 15803, 12, 1.9173796371983, 6, 4, 
2015-Q03, 587517, 1287, 52353, 80.997618792307, 9150, 12, 1.8945290093733, 6, 4, 
2015-Q02, 574049, 1208, 52955, 58.994366334581, 24735, 12, 1.3978127302722, 6, 2, 
2015-Q01, 475633, 1106, 47482, 50.699617141788, 7258, 10, 1.2416506003578, 5, 2, 
2014-Q04, 391699, 1011, 41500, 55.466741043505, 34309, 10, 1.0932910219327, 5, 2, 
2014-Q03, 384898, 937, 34223, 119.63642835245, 5381, 9, 1.1311022660549, 5, 2, 
2014-Q02, 352565, 913, 33171, 50.668815679378, 10650, 9, 1.1361819806277, 6, 2, 
2014-Q01, 247833, 809, 25706, 35.850976262241, 9556, 9, 1.110275871252, 4, 2, 
2013-Q04, 117065, 656, 8592, 51.481185666083, 2777, 23, 1.0605731858369, 4, 2, 
2013-Q03, 84797, 592, 4927, 61.844676108825, 56226, 3, 1.003066146208, 4, 2, 
2013-Q02, 69952, 440, 3451, 69.23088689387, 6429, 3, 1.0002430237877, 4, 2, 
2013-Q01, 40173, 294, 2709, 40.742314489831, 2249, 14, 1.0025390187439, 4, 4, 
2012-Q04, 32655, 162, 1931, 76.927484305619, 2244, 3, 1.0011024345429, 4, 4, 
2012-Q03, 16691, 166, 885, 107.93589359535, 3025, 3, 1.0010784254988, 4, 4, 
2012-Q02, 883, 17, 62, 127.34654586636, 1869, 4, 1.0101925254813, 4, 4, 
2012-Q01, 35, 13, 16, 398.25714285714, 3025, 6, 1.0571428571429, 2, 2, 
2011-Q04, 10, 2, 2, 9.4, 10, 10, 1, 1, 0, 
2011-Q03, 3, 2, 2, 20.333333333333, 43, 9, 1.3333333333333, 2, 2, 
2011-Q02, 62, 4, 5, 24.129032258065, 46, 15, 1.9354838709677, 4, 4, 
2011-Q01, 98, 2, 5, 25.989795918367, 46, 26, 3.7142857142857, 4, 4, 
2010-Q04, 29, 1, 4, 23.931034482759, 29, 26, 2.8620689655172, 4, 4, 
2010-Q03, 103, 3, 5, 24.815533980583, 29, 24, 3.8543689320388, 4, 4, 
2010-Q02, 112, 5, 10, 32.160714285714, 43, 43, 1.4375, 4, 2, 
2010-Q01, 33, 6, 13, 38.606060606061, 151, 20, 2.6060606060606, 4, 4, 
2009-Q04, 46, 4, 9, 31.978260869565, 81, 28, 3.7391304347826, 4, 4, 
2009-Q03, 27, 2, 4, 27.037037037037, 33, 28, 3.8888888888889, 4, 4, 
2009-Q02, 5, 3, 4, 31.2, 52, 22, 2.2, 4, 4, 
2009-Q01, 50, 3, 6, 29.98, 48, 33, 3.88, 4, 4, 
2008-Q04, 9, 4, 7, 42.111111111111, 52, 48, 3.5555555555556, 4, 4, 
2008-Q03, 6, 2, 5, 24.166666666667, 29, 22, 2.8333333333333, 4, 4, 
2008-Q02, 5, 2, 3, 16.8, 46, 9, 1.2, 2, 2, 
2008-Q01, 6, 4, 5, 29, 46, 46, 2, 4, 2, 
2007-Q04, 65, 4, 4, 37.769230769231, 315, 29, 1.1846153846154, 4, 4, 
2007-Q03, 24, 3, 6, 22.25, 43, 27, 3.125, 4, 4, 
2007-Q02, 2, 2, 2, 18.5, 28, 9, 2.5, 4, 4, 
2007-Q01, 6, 5, 6, 39.333333333333, 81, 11, 1.6666666666667, 4, 2, 
2006-Q04, 16, 2, 3, 12.625, 22, 12, 1, 1, 0, 
2006-Q03, 8, 1, 4, 24.5, 27, 24, 4, 4, 4, 
2006-Q01, 8, 4, 4, 18.5, 30, 15, 1.625, 6, 6, 
2005-Q04, 5, 3, 3, 15.4, 21, 16, 1, 1, 0, 
2005-Q02, 18, 2, 6, 22, 22, 22, 1, 1, 0, 
2005-Q01, 2, 2, 2, 21, 30, 30, 1, 1, 0, 
2004-Q04, 23, 2, 5, 39.826086956522, 81, 32, 3.6086956521739, 4, 4, 
2004-Q03, 29, 2, 3, 31.034482758621, 32, 32, 4, 4, 4, 
2004-Q02, 8, 1, 2, 24.5, 26, 24, 3.5, 4, 4, 
2004-Q01, 99, 1, 2, 23.69696969697, 81, 20, 2, 2, 2, 
2003-Q04, 129, 4, 8, 21.899224806202, 160, 20, 2.1162790697674, 4, 2, 
2003-Q01, 14, 6, 5, 1947.8571428571, 3025, 3025, 1.2142857142857, 4, 4, 
2002-Q04, 3, 2, 2, 18.666666666667, 26, 26, 3, 4, 4, 
2002-Q03, 9, 2, 5, 28.444444444444, 43, 43, 2.2222222222222, 4, 4, 
2002-Q01, 21, 3, 7, 27.619047619048, 48, 30, 3.4285714285714, 4, 4, 
2001-Q04, 8, 3, 5, 12.625, 26, 12, 1.375, 4, 4, 
2001-Q03, 31, 2, 3, 22.387096774194, 24, 22, 1.5806451612903, 4, 4, 
2001-Q02, 1, 1, 1, 48, 48, 48, 4, 4, 4, 
2001-Q01, 40, 13, 22, 20.7, 81, 9, 2.425, 4, 4, 
2000-Q04, 73, 9, 19, 12.972602739726, 93, 3, 1.6986301369863, 4, 4, 
2000-Q03, 10, 2, 2, 29, 33, 33, 3.8, 4, 4, 
